name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,gw,player_id,first_name,last_name
Phil Bardsley,DEF,Burnley,0,0,0,10,0,10.1,82,20,1,0,2.4,13.6,2020-09-26T19:00:00Z,90,16,0,0,0,0,3,0,38080,1,0,0,1,-1879,4011,5890,45,TRUE,1,3,82,Phil,Bardsley
Phil Foden,MID,Man City,6,0,0,5,0,3.7,284,24,3,0,0.4,0.6,2020-09-27T15:30:00Z,63,9,0,0,0,0,3,0,529454,5,2,0,2,205051,284995,79944,65,TRUE,0,3,284,Phil,Foden
Phil Jagielka,DEF,Sheffield Utd,0.5,0,0,0,0,0,529,25,0,0,0,0,2020-09-27T11:00:00Z,0,10,0,0,0,0,3,0,33014,1,0,0,0,10444,14926,4482,40,TRUE,0,3,529,Phil,Jagielka
Phil Jones,DEF,Man Utd,0,0,0,0,0,0,297,19,0,0,0,0,2020-09-26T11:30:00Z,0,3,0,0,0,0,3,0,4082,3,2,0,0,-1700,52,1752,50,FALSE,0,3,297,Phil,Jones
Pierre-Emerick Aubameyang,MID,Arsenal,4.2,0,0,5,0,0.9,4,23,3,0,0.9,4.2,2020-09-28T19:00:00Z,90,11,0,0,0,0,3,0,2046859,1,3,4,2,-967555,50656,1018211,119,FALSE,0,3,4,Pierre-Emerick,Aubameyang
Pierre-Emile Højbjerg,MID,Spurs,2.2,0,0,14,0,32.1,396,26,1,0,5.8,18.2,2020-09-27T13:00:00Z,90,14,0,0,0,0,3,0,54887,1,1,8,2,-9098,5340,14438,49,TRUE,0,3,396,Pierre-Emile,Højbjerg
Raheem Sterling,MID,Man City,4,0,0,-4,0,6.5,276,24,5,0,5.1,4.6,2020-09-27T15:30:00Z,90,9,0,0,0,0,3,0,431789,5,2,40,2,92242,158435,66193,115,TRUE,0,3,276,Raheem,Sterling
Raúl Jiménez,FWD,Wolves,4.7,0,0,-1,0,7.2,460,28,4,0,5.4,0,2020-09-27T18:00:00Z,90,19,1,0,0,0,3,0,1561217,0,4,47,0,198215,349218,151003,85,FALSE,0,3,460,Raúl,Jiménez
Reece James,DEF,Chelsea,6.3,0,1,27,0,89.7,123,27,3,0,13.1,36.8,2020-09-26T16:30:00Z,90,18,0,0,0,0,3,0,1135471,3,3,4,1,426692,522263,95571,51,FALSE,1,3,123,Reece,James
Reiss Nelson,MID,Arsenal,-0.5,0,0,0,0,0,21,23,0,0,0,0,2020-09-28T19:00:00Z,0,11,0,0,0,0,3,0,4712,1,3,0,0,-913,193,1106,54,FALSE,0,3,21,Reiss,Nelson
Rekeem Harper,MID,West Brom,-0.7,0,0,0,0,0,426,27,0,0,0,0,2020-09-26T16:30:00Z,0,5,0,0,0,0,3,0,40609,3,3,0,0,-999,6711,7710,45,TRUE,0,3,426,Rekeem,Harper
Rhian Brewster,FWD,Liverpool,0.5,0,0,0,0,0,262,23,0,0,0,0,2020-09-28T19:00:00Z,0,1,0,0,0,0,3,0,361778,1,3,0,0,-41736,60972,102708,45,TRUE,0,3,262,Rhian,Brewster
Ricardo Domingos Barbosa Pereira,DEF,Leicester,0,0,0,0,0,0,226,24,0,0,0,0,2020-09-27T15:30:00Z,0,12,0,0,0,0,3,0,7028,5,2,0,0,-1470,386,1856,60,FALSE,0,3,226,Ricardo Domingos,Barbosa Pereira
Richarlison de Andrade,FWD,Everton,7.3,0,3,32,0,3.2,166,21,1,1,7,42,2020-09-26T14:00:00Z,89,6,0,0,0,0,3,0,777072,2,1,25,8,16344,114962,98618,80,FALSE,1,3,166,Richarlison,de Andrade
Riyad Mahrez,MID,Man City,6.5,1,2,39,0,42.9,275,24,5,1,12.5,52.4,2020-09-27T15:30:00Z,90,9,0,0,0,0,3,0,125375,5,2,30,12,-31344,20978,52322,85,TRUE,0,3,275,Riyad,Mahrez
Robbie Brady,MID,Burnley,0,0,0,0,0,0,95,20,0,0,0,0,2020-09-26T19:00:00Z,0,16,0,0,0,0,3,0,3913,1,0,0,0,-1105,186,1291,50,TRUE,0,3,95,Robbie,Brady
Roberto Firmino,FWD,Liverpool,3.2,0,0,12,0,24.4,249,23,1,0,5.5,9,2020-09-28T19:00:00Z,90,1,0,0,0,0,3,0,210870,1,3,22,2,-28847,13596,42443,94,TRUE,0,3,249,Roberto,Firmino
Roberto Jimenez Gago,GK,West Ham,0,0,0,0,0,0,433,28,0,0,0,0,2020-09-27T18:00:00Z,0,20,0,0,0,0,3,0,1056,0,4,0,0,-75,87,162,45,TRUE,0,3,433,Roberto,Jimenez Gago
Robert Snodgrass,MID,West Ham,0,0,0,0,0,0,428,28,0,0,0,0,2020-09-27T18:00:00Z,0,20,0,0,0,0,3,0,7227,0,4,0,0,-1605,149,1754,59,TRUE,0,3,428,Robert,Snodgrass
Robin Koch,DEF,Leeds,1.8,0,0,25,1,0.3,491,25,0,0,1.8,18,2020-09-27T11:00:00Z,90,15,0,0,0,0,3,0,39477,1,0,0,6,-2971,4413,7384,45,FALSE,0,3,491,Robin,Koch
Rob Holding,DEF,Arsenal,2.5,0,0,14,0,0.1,16,23,3,0,3.2,32,2020-09-28T19:00:00Z,90,11,0,0,0,0,3,0,171240,1,3,0,1,14874,51839,36965,45,FALSE,0,3,16,Rob,Holding
Rodrigo Hernandez,MID,Man City,2,0,0,14,0,8,286,24,5,0,2.4,12.6,2020-09-27T15:30:00Z,90,9,0,0,0,0,3,0,36118,5,2,3,2,-3393,3472,6865,55,TRUE,0,3,286,Rodrigo,Hernandez
Rodrigo Moreno,FWD,Leeds,0.5,0,0,0,0,3.9,492,25,0,0,3.2,2.8,2020-09-27T11:00:00Z,45,15,0,0,0,0,3,0,300092,1,0,25,1,-182141,12046,194187,59,FALSE,0,3,492,Rodrigo,Moreno
Rolando Aarons,MID,Newcastle,-0.5,0,0,0,0,0,337,26,0,0,0,0,2020-09-27T13:00:00Z,0,17,0,0,0,0,3,0,4852,1,1,0,0,-702,429,1131,49,FALSE,0,3,337,Rolando,Aarons
Romaine Sawyers,MID,West Brom,1,0,0,12,0,11.9,413,27,3,0,2.4,11.4,2020-09-26T16:30:00Z,90,5,0,0,0,0,3,0,3222,3,3,1,2,-445,142,587,50,TRUE,0,3,413,Romaine,Sawyers
Romain Saïss,DEF,Wolves,5.3,0,0,15,0,1.7,461,28,4,0,1.4,12,2020-09-27T18:00:00Z,90,19,0,0,0,0,3,0,816549,0,4,0,0,347814,439854,92040,51,FALSE,0,3,461,Romain,Saïss
Ross Barkley,MID,Chelsea,1.7,0,0,0,0,0,106,27,0,0,0,0,2020-09-26T16:30:00Z,0,18,0,0,0,0,3,0,19294,3,3,0,0,-2661,1558,4219,59,FALSE,0,3,106,Ross,Barkley
Ruben Loftus-Cheek,MID,Chelsea,1.7,0,0,0,0,0,115,27,0,0,0,0,2020-09-26T16:30:00Z,0,18,0,0,0,0,3,0,12237,3,3,0,0,-1848,759,2607,60,FALSE,0,3,115,Ruben,Loftus-Cheek
Rui Pedro dos Santos Patrício,GK,Wolves,3.3,0,0,17,0,0,455,28,4,0,3.3,33.4,2020-09-27T18:00:00Z,90,19,0,0,0,0,3,4,483271,0,4,0,1,48947,95211,46264,55,FALSE,0,3,455,Rui Pedro,dos Santos Patrício
Ryan Bennett,DEF,Wolves,0,0,0,0,0,0,456,28,0,0,0,0,2020-09-27T18:00:00Z,0,19,0,0,0,0,3,0,24617,0,4,0,0,-3005,1392,4397,45,FALSE,0,3,456,Ryan,Bennett
Ryan Bertrand,DEF,Southampton,3,0,2,28,1,32.3,362,20,0,0,5.3,19,2020-09-26T19:00:00Z,90,4,0,0,0,0,3,0,80480,1,0,2,8,-10378,3818,14196,50,FALSE,0,3,362,Ryan,Bertrand
Ryan Fraser,MID,Newcastle,-0.2,0,0,0,0,0,507,26,0,0,0,0,2020-09-27T13:00:00Z,0,17,0,0,0,0,3,0,42093,1,1,0,0,-18454,2181,20635,60,FALSE,0,3,507,Ryan,Fraser
